dataset	fold	drop_ungated_training	drop_ungated_test	gmm_parameterization	status	validation_status	process_returncode	runner_commit	output_archive_sha256
FR-FCM-Z3YR	1	true	true	V	passed	PASS	0	da3fcb906345c5bd5dff879c34c548d25a3df9f8	5396b04d282c25088a7d7a3d07e2e7909900fd16dd88f7acd2d7126168689671
FR-FCM-Z3YR	2	false	false	E	timed_out		124	da3fcb906345c5bd5dff879c34c548d25a3df9f8	NA
FR-FCM-Z3YR	2	false	false	V	passed	PASS	0	da3fcb906345c5bd5dff879c34c548d25a3df9f8	d544796ef1ba9f4d36e3be7bfce1648e426a74e24877a60edb32972fb03fcb67
FR-FCM-Z3YR	2	true	false	E	pending		-15	da3fcb906345c5bd5dff879c34c548d25a3df9f8	NA
FR-FCM-Z3YR	2	true	false	V	passed	PASS	0	da3fcb906345c5bd5dff879c34c548d25a3df9f8	115622137134a2899b0132ef85695654dc679f61f7fea256a410818f96311d34
FR-FCM-Z3YR	2	true	true	E	pending		-15	da3fcb906345c5bd5dff879c34c548d25a3df9f8	NA
FR-FCM-Z3YR	2	true	true	V	pending		-15	da3fcb906345c5bd5dff879c34c548d25a3df9f8	NA
FR-FCM-Z3YR	3	false	false	E	pending		-15	da3fcb906345c5bd5dff879c34c548d25a3df9f8	NA
FR-FCM-Z3YR	3	false	false	V	pending				NA
FR-FCM-Z3YR	3	true	false	E	pending				NA
FR-FCM-Z3YR	3	true	false	V	pending				NA
FR-FCM-Z3YR	3	true	true	E	pending				NA
FR-FCM-Z3YR	3	true	true	V	pending				NA
FR-FCM-Z3YR	4	false	false	E	pending				NA
FR-FCM-Z3YR	4	false	false	V	pending				NA
FR-FCM-Z3YR	4	true	false	E	pending				NA
FR-FCM-Z3YR	4	true	false	V	pending				NA
FR-FCM-Z3YR	4	true	true	E	pending				NA
FR-FCM-Z3YR	4	true	true	V	pending				NA
FR-FCM-Z3YR	5	false	false	E	pending				NA
FR-FCM-Z3YR	5	false	false	V	pending				NA
FR-FCM-Z3YR	5	true	false	E	pending				NA
FR-FCM-Z3YR	5	true	false	V	pending				NA
FR-FCM-Z3YR	5	true	true	E	pending				NA
FR-FCM-Z3YR	5	true	true	V	pending				NA
FlowCyt	1	false	false	E	passed	PASS	0	da3fcb906345c5bd5dff879c34c548d25a3df9f8	bacecedd4872fa16f22247bcd731e7a98d20ae15b0f65e3a58db069eff701961
FlowCyt	1	false	false	V	pending				NA
FlowCyt	1	true	false	E	pending				NA
FlowCyt	1	true	false	V	pending				NA
FlowCyt	1	true	true	E	pending				NA
FlowCyt	1	true	true	V	pending				NA
FlowCyt	2	false	false	E	pending				NA
FlowCyt	2	false	false	V	pending				NA
FlowCyt	2	true	false	E	pending				NA
FlowCyt	2	true	false	V	pending				NA
FlowCyt	2	true	true	E	pending				NA
FlowCyt	2	true	true	V	pending				NA
FlowCyt	3	false	false	E	pending				NA
FlowCyt	3	false	false	V	pending				NA
FlowCyt	3	true	false	E	pending				NA
FlowCyt	3	true	false	V	pending				NA
FlowCyt	3	true	true	E	pending				NA
FlowCyt	3	true	true	V	pending				NA
FlowCyt	4	false	false	E	pending				NA
FlowCyt	4	false	false	V	pending				NA
FlowCyt	4	true	false	E	pending				NA
FlowCyt	4	true	false	V	pending				NA
FlowCyt	4	true	true	E	pending				NA
FlowCyt	4	true	true	V	pending				NA
FlowCyt	5	false	false	E	pending				NA
FlowCyt	5	false	false	V	pending				NA
FlowCyt	5	true	false	E	pending				NA
FlowCyt	5	true	false	V	pending				NA
FlowCyt	5	true	true	E	pending				NA
FlowCyt	5	true	true	V	pending				NA
